,大天使,女神,魔神,幻魔,地母神,鬼神,国津神,秘神,灵鸟,天使,妖魔,凶鸟,军神,神兽,圣兽,妖精,魔兽,地灵,魔人,妖兽,破坏神,龙神,鬼女,妖鬼,堕天使,夜魔,龙王,邪龙,外道,珍兽,女魔,恶魔,原天使,邪神,邪鬼,魔王,幽鬼
大天使,火精灵,幻魔,邪神,女神,女神,女神,圣兽,女神,天使,女神,魔王,,邪神,灵鸟,灵鸟,天使,圣兽,魔神,军神,,魔王,破坏神,女神,妖精,魔王,堕天使,堕天使,,,神兽,地母神,,,,,,
女神,,水精灵,大天使,灵鸟,魔神,幻魔,鬼女,魔神,大天使,灵鸟,神兽,,魔神,魔神,灵鸟,军神,堕天使,地母神,邪神,,地母神,地母神,,鬼女,外道,鬼女,军神,,,圣兽,,,大天使,,,,
魔神,,,火精灵,军神,圣兽,破坏神,破坏神,大天使,圣兽,大天使,妖精,,鬼神,幻魔,军神,幻魔,神兽,妖鬼,大天使,,大天使,国津神,龙王,地灵,破坏神,地母神,魔兽,,,神兽,破坏神,,大天使,,,,
幻魔,,,,水精灵,国津神,妖鬼,地母神,魔神,圣兽,军神,夜魔,,魔神,魔神,妖精,魔神,圣兽,夜魔,魔神,,鬼神,夜魔,国津神,鬼神,邪神,地母神,军神,,,圣兽,鬼神,,大天使,,,,
地母神,,,,,磐石精灵,鬼女,地灵,女神,破坏神,妖精,幽鬼,,鬼神,龙神,魔神,幻魔,龙王,鬼神,女神,,鬼神,破坏神,妖鬼,鬼神,鬼女,鬼女,鬼女,,,圣兽,大天使,,大天使,,,,
鬼神,,,,,,磐石精灵,破坏神,军神,国津神,龙王,魔王,,破坏神,龙神,妖鬼,国津神,神兽,鬼女,妖鬼,,魔王,军神,地灵,鬼女,龙神,魔王,龙神,,,神兽,破坏神,,大天使,,,,
国津神,,,,,,,火精灵,地母神,地母神,妖魔,幻魔,,魔神,龙神,妖精,妖魔,圣兽,地母神,破坏神,,鬼神,龙王,地母神,鬼神,妖精,魔兽,龙神,,,圣兽,地母神,,大天使,,,,
秘神,,,,,,,,,大天使,灵鸟,女神,,魔神,军神,神兽,女神,神兽,地母神,魔王,,魔神,神兽,女神,鬼神,灵鸟,女神,神兽,,,神兽,女神,,大天使,,,,
灵鸟,,,,,,,,,风精灵,妖魔,天使,,神兽,大天使,神兽,女神,妖精,妖魔,国津神,,大天使,神兽,女神,幻魔,凶鸟,凶鸟,国津神,,,女神,破坏神,,大天使,,,,
天使,,,,,,,,,,风精灵,堕天使,灵鸟,圣兽,妖精,神兽,女神,妖鬼,堕天使,地灵,凶鸟,魔王,堕天使,女神,地灵,,女神,堕天使,凶鸟,堕天使,圣兽,堕天使,魔王,大天使,魔王,妖精,邪神,邪鬼
妖魔,,,,,,,,,,,风精灵,天使,鬼神,地灵,魔兽,天使,圣兽,妖精,夜魔,魔兽,夜魔,幻魔,幽鬼,邪鬼,妖精,天使,夜魔,夜魔,地灵,魔兽,鬼女,魔王,大天使,邪鬼,幽鬼,邪神,妖鬼
凶鸟,,,,,,,,,,,,风精灵,,,,女神,妖精,天使,魔兽,魔兽,,,天使,幽鬼,魔王,女神,邪神,魔兽,妖兽,女神,邪龙,魔王,,邪龙,妖兽,邪神,地灵
军神,,,,,,,,,,,,,磐石精灵,幻魔,鬼神,幻魔,堕天使,鬼神,鬼神,,魔神,龙王,堕天使,堕天使,地母神,魔兽,鬼神,,,神兽,魔王,,大天使,,,,
神兽,,,,,,,,,,,,,,水精灵,魔兽,鬼神,地灵,圣兽,龙神,,龙神,破坏神,圣兽,国津神,龙王,魔兽,龙神,,,魔神,地母神,,大天使,,,,
圣兽,,,,,,,,,,,,,,,风精灵,魔兽,灵鸟,魔兽,妖精,,龙王,军神,地灵,邪鬼,魔兽,地灵,龙神,,,军神,地母神,,大天使,,,,
妖精,,,,,,,,,,,,,,,,风精灵,夜魔,军神,邪鬼,圣兽,魔神,夜魔,地母神,鬼女,夜魔,天使,灵鸟,鬼女,军神,魔兽,夜魔,魔王,大天使,邪鬼,地灵,幽鬼,鬼女
魔兽,,,,,,,,,,,,,,,,,磐石精灵,妖魔,妖兽,妖精,龙王,妖兽,夜魔,鬼女,地灵,军神,妖兽,外道,妖兽,幻魔,龙王,魔王,大天使,妖兽,地灵,妖兽,妖兽
地灵,,,,,,,,,,,,,,,,,,磐石精灵,夜魔,魔兽,妖鬼,地母神,国津神,妖精,龙神,妖精,堕天使,邪鬼,妖精,魔兽,地母神,魔王,大天使,邪鬼,妖鬼,夜魔,鬼女
魔人,,,,,,,,,,,,,,,,,,,,外道,鬼神,邪龙,地母神,幽鬼,魔王,鬼女,邪龙,灵鸟,魔王,魔兽,魔王,魔王,,魔王,幽鬼,邪神,堕天使
妖兽,,,,,,,,,,,,,,,,,,,,水精灵,,,,魔兽,凶鸟,妖鬼,邪龙,灵鸟,魔兽,幻魔,邪龙,魔王,,凶鸟,邪龙,邪龙,邪龙
破坏神,,,,,,,,,,,,,,,,,,,,,风精灵,堕天使,地母神,鬼神,魔王,地灵,龙神,,,神兽,魔王,,大天使,,,,
龙神,,,,,,,,,,,,,,,,,,,,,,风精灵,堕天使,国津神,龙王,外道,堕天使,,,破坏神,邪龙,,大天使,,,,
鬼女,,,,,,,,,,,,,,,,,,,,,,,水精灵,堕天使,地母神,妖鬼,邪龙,外道,妖鬼,魔兽,地母神,魔王,大天使,邪鬼,幽鬼,邪鬼,妖鬼
妖鬼,,,,,,,,,,,,,,,,,,,,,,,,水精灵,夜魔,鬼女,龙神,幽鬼,幽鬼,妖兽,鬼神,魔王,大天使,邪鬼,外道,邪鬼,外道
堕天使,,,,,,,,,,,,,,,,,,,,,,,,,火精灵,妖鬼,龙神,凶鸟,天使,魔兽,魔王,魔王,大天使,凶鸟,邪龙,邪龙,妖魔
夜魔,,,,,,,,,,,,,,,,,,,,,,,,,,磐石精灵,妖魔,鬼女,妖魔,妖兽,女神,魔王,大天使,魔王,地灵,妖魔,妖魔
龙王,,,,,,,,,,,,,,,,,,,,,,,,,,,火精灵,妖兽,魔兽,国津神,邪龙,魔王,大天使,邪龙,邪龙,邪龙,邪龙
邪龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,火精灵,幽鬼,地母神,龙神,魔王,,妖兽,妖鬼,妖兽,外道
外道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,妖兽,夜魔,魔王,,魔王,妖鬼,幽鬼,邪龙
珍兽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,魔兽,魔王,大天使,妖兽,妖兽,魔兽,妖兽
女魔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,魔王,大天使,魔王,夜魔,破坏神,妖鬼
恶魔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,魔王,魔王,,魔王
原天使,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邪神,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水精灵,幽鬼,邪鬼,魔王
邪鬼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,火精灵,邪神,女神
魔王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,火精灵,邪鬼
幽鬼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水精灵
